latitude	longitude	altitude (m)	
36.115	-96.00783333	193.8	
56.01633333	12.08783333	13.3	
47.5895	-122.1716667	91.5	
-42.95	147.3	227	
40.73133333	-124.205	26.8	
47.5405	-121.8686667	251.4	
21.34116667	-89.30583333	1	
33.69783333	-111.8845	616.3	
-41.248	174.772	116.6	
39.72866667	-105.1555	1781.9	
-34.79	138.6665	73.8	
48.71716667	10.75166667	411	
36.4895	-88.7205	146.7	
36.26083333	-79.438	194.7	
44.10083333	-91.82283333	235.4	
46.74833333	13.847	1099.8	
40.92333333	-73.3305	7.2	
41.35266667	-93.56133333	287.9	
36.35283333	-121.2083333	73.9	
48.69616667	-1.362	7.2	
35.763	-92.35283333	198.1	
40.94833333	-73.7305	0	
33.19583333	-117.2176667	172.8	
29.717	-95.78616667	35.1	
40.097	-82.79933333	321.4	
30.848	-98.118	358.6	
53.78483333	0	0	
48.84883333	3.4945	146.9	
42.65483333	-78.703	487	
37.21916667	-121.7655	66.6	
19	-155.6	39.1	
42.2	-87.8	202	
51.288	0.491333333		
35.86216667	-94.24883333	512.9	
52.09083333	-2.423	97.6	
41.29583333	-73.14683333	82.7	
39.07533333	-93.71716667	253.4	
49.1105	-122.5083333	90.6	
39.00866667	-76.91716667	25.2	
40.74683333	-74.00683333	2.3	
33.237	-87.687	58.2	
60.47366667	22.69266667	50	
30.17633333	-92.04716667	8.3	
46.56466667	6.604333333	598	
55.3205	-131.601	9.8	
51.80683333	3.941166667	1	
51.8145	3.979333333	-0.6	
51.82033333	3.934333333	3.9	
51.81416667	4.0295	0	
52.04416667	4.236666667	0	
43.51633333	-110.8425	1884.9	
32.8795	-97.13366667	189.2	
30.115	-81.81533333	5.8	
39.55633333	-105.3708333	2681.5	
40.79716667	-73.31333333	41.5	
51.9325	4.878666667	0.6	
39.13833333	-76.86116667	101.9	
36.8875	-89.5965	99.6	
14.71616667	-17.487	39.2	
47.107	-124.1785	5.8	
40.65133333	-119.3551667	1201.1	
43.32033333	-123.0596667	228.3	
40.08783333	-74.052	4.3	
36.64883333	-121.788	96.7	
53.012	7.186666667	1.6	
42.9175	-85.63983333	212.6	
53.24416667	-113.5346667	741	
42.958	-71.45833333	95.3	
29.59916667	-95.10633333	6.3	
-21.26666667	55.33333333	6	
42.2355	-77.20033333	310.6	
43.3255	-76.2275	127.4	
46.73916667	7.6325	559	
44.5	-116.6	941.2	
37.50133333	-97.00616667	369.7	
37.89833333	-122.052	56	
44.13933333	-64.6185	3.8	
34.19116667	-118.9563333	211	
35.163	-82.45833333	880.5	
39.74	-84.05333333	284.6	
47.989	7.9125	326.8	
43.88333333	-81.30833333	332.8	
41.87966667	-74.96616667	597.8	
60.57333333	-151.307	26	
33.02333333	-84.342	269.7	
39.64083333	-80.85716667	190.5	
37.57816667	-97.4035	395.8	
59.292	-2.926666667	11	
32.9175	-96.6255	162.8	
40.74366667	-74.81966667	152.6	
45.3865	11.87516667	12.7	
39.20033333	-0.315333333	11.1	
33.318	-111.9341667	357.2	
50.99916667	6.793666667	57.2	
56.03366667	-3.361166667	33	
50.37583333	18.8075	296	
36.39283333	-92.3015	245.8	
43.61916667	6.783	383.8	
32.16466667	-110.8375	840.7	
49.7945	-112.1498333	811	
54.549	-3.435	201.8	
34.07466667	-118.6278333	744.9	
37.61	-77.48816667	63.9	
60.46383333	22.6735	10.4	
46.86466667	-113.9761667	977.4	
50.6	-124.1	1664.6	
-17.6475	-149.592	326	
50.5	-124.4	82.9	
-33.89816667	151.1406667	20.8	
13.74916667	100.6963333	4.6	
43.538	-5.623833333	19.6	
43.33966667	-5.852166667	273.5	
41.265	1.2455	209.8	
41.30616667	1.995	35.6	
38.47283333	-0.7875	401.4	
38.63333333	-1.15	608	
41.62133333	0.6175		
51.853	-8.29	72	
50.63083333	2.405333333	19	
47.36166667	0.809166667	68.5	
30.44633333	-84.2995	36.4	
50.6795	-2.233333333	19.6	
51.37783333	1.309666667	23.8	
53.58116667	-1.770333333	175.9	
32.83933333	-117.2103333	95.3	
55.21533333	10.59033333	79.1	
57.83833333	-4.176333333	20	
14.08133333	-87.19916667	998	
44.842	11.49	11	
46.26816667	9.866666667	964.8	
36.19116667	137.9678333	609	
44.11466667	144.0183333	30.4	
38.71533333	-76.1795	1.4	
39.243	-76.99833333	164.7	
38.86166667	-77.1555	96.9	
38.74	-108.0908333	1543.8	
34.29933333	-118.5125	429.9	
40.29383333	-121.0528333	1507.1	
33.03333333	-97.14616667	183.7	
44.99916667	-105.2	1169.3	
33.71166667	-96.653	248.7	
33.71166667	-96.65333333	249.7	
39.8725	-86.20133333	241.4	
39.66133333	-86.18833333	208.5	
36.19416667	-82.55283333	521.9	
42.23883333	-71.4255	90.5	
41.28866667	-81.8945	266.2	
26.30366667	-80.1395	4	
44.258	-69.856	102.2	
41.32916667	-81.6025	234.9	
43.052	-77.59116667	195.8	
40.40633333	-74.10966667	14.8	
34.25866667	-116.9213333	2057.3	
32.83833333	-109.7533333	896.4	
29.587	-95.11	6.1	
43.3195	-88.16833333	271.2	
41.34166667	-88.29783333	160	
40.943	-87.13716667	201.3	
47.2595	-88.40633333	343.1	
34.778	-86.48883333	209.8	
34.70133333	-79.925	52.8	
46.0705	-118.3075	321.2	
33.4325	-111.7033333	430.9	
38.88583333	-81.39533333	228.8	
27.88966667	-82.73216667	4.7	
37.6745	-122.0541667	118.9	
33.06166667	-116.5738333	1356.1	
42.02416667	-111.255	1863.8	
28.42616667	-80.712	2.7	
37.38733333	-122.0215	14.7	
32.968	-97.4105	259.6	
48.86633333	-123.5461667	13.4	
40.7905	-96.63166667	385.5	
